country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	recovered	delta_recov	alpha_recov	alpha_count_t1	alpha_count_t2	delta_count_t1	delta_count_t2	av_cases	x_wt	x_delta	x_alpha
ITALY	44394	06/28/2021	08/07/2021	0.095	1.57e-05	0.432	0.071	0.0012270568281489533	0.024835452956973224	911	43	1793	3696	52.06	0.02566910892088605	0.9251538175353863	0.04917707354372767
BELGIUM	44322	04/17/2021	05/27/2021	0.044	2.47e-05	0.1	0.086	0.00011521720871234174	0.02284708210215636	3138	2621	32	155	235.2	0.08589285885101472	0.023239692060375454	0.8908674490886098
BELGIUM	44329	04/24/2021	06/03/2021	0.041	1.64e-05	0.121	0.088	0.00015641066331749978	0.024253568482152994	3218	2065	53	177	209.01	0.08911467375092352	0.02979625197653096	0.8810890742725456
BELGIUM	44336	05/01/2021	06/10/2021	0.05	1.22e-05	0.149	0.089	0.00020313949543379807	0.025469238338364546	3157	1503	69	243	178.66	0.0922529669652058	0.03815078069557267	0.8695962523392216
BELGIUM	44343	05/08/2021	06/17/2021	0.068	9.4e-06	0.182	0.09	0.00025451746559436645	0.02647643863984303	3282	936	89	392	143.5	0.09412733404159979	0.05342260326680979	0.8524500626915904
BELGIUM	44350	05/15/2021	06/24/2021	0.092	7.5e-06	0.219	0.091	0.00031122406052249373	0.027244554695271768	3130	560	108	771	113.81	0.09520305147815245	0.07614303834524105	0.8286539101766065
BELGIUM	44357	05/22/2021	07/01/2021	0.115	7.1e-06	0.255	0.092	0.00039006337639488115	0.027833020467598845	2921	308	134	1381	87.08	0.08859166076595348	0.14010369416736085	0.7713046450666857
BELGIUM	44364	05/29/2021	07/08/2021	0.126	7.6e-06	0.291	0.093	0.0005085670576022956	0.02822637921544834	2463	192	162	1966	71.34	0.06707151874231143	0.30677260981455234	0.6261558714431362
BELGIUM	44371	06/05/2021	07/15/2021	0.134	9.8e-06	0.331	0.093	0.0007157344655758753	0.028470251583833095	1915	114	189	2407	69.23	0.03627871538763394	0.6011252977700291	0.36259598684233696
BELGIUM	44378	06/12/2021	07/22/2021	0.134	1.35e-05	0.374	0.094	0.001049896696378062	0.028608580561506662	1322	61	271	2676	72.4	0.02405552543891923	0.8157945301025095	0.1601499444585713
GERMANY	44337	05/02/2021	06/11/2021	0.08	3.4e-06	0.147	0.043	7.724649089719746e-05	0.01464409819735683	22066	4062	229	1052	91.95	0.04250485045415464	0.03195684866028739	0.925538300885558
GERMANY	44344	05/09/2021	06/18/2021	0.091	2.8e-06	0.181	0.044	9.778345271666805e-05	0.015165929972047992	18678	2237	300	1369	62.96	0.04994285171721202	0.055666248246175144	0.8943909000366128
GERMANY	44351	05/16/2021	06/25/2021	0.104	2.8e-06	0.22	0.044	0.00012033325855959415	0.015504118182143395	14766	1119	347	1691	41.68	0.05877446037392531	0.10620630548468364	0.835019234141391
