country	FLAI_time	t1	t2	s_hat	s_var	vaccinated	vac_cor	recovered	boosted	delta_recov	omi_recov	omi_count_t1	omi_count_t2	delta_count_t1	delta_count_t2	av_cases	x_delta	x_omi
NETHERLANDS	44565	12/21/2021	01/20/2022	0.133	1.15e-05	0.689	0.343	0.078	0.328	0.078	0.014	1366	3823	2300	118	1404.25	0.19105029829375025	0.8089497017062509
NETHERLANDS	44572	12/28/2021	01/27/2022	0.136	2.54e-05	0.69	0.261	0.08	0.399	0.08	0.024	2223	3772	1526	45	2038.85	0.08201286421135494	0.9179871357886391
NY	44535	11/21/2021	12/21/2021	0.159	1.35e-05	0.694	0.569	0.022	0.135	0.022	0.001	81	3963	7543	3109	339.37	0.7986773278939565	0.19877858436783122
NY	44542	11/28/2021	12/28/2021	0.12	3.1e-06	0.701	0.525	0.024	0.164	0.024	0.001	710	4123	8190	1312	436.64	0.658412097088969	0.33936741688378014
NY	44549	12/05/2021	01/04/2022	0.113	3e-06	0.709	0.506	0.025	0.194	0.025	0.003	1773	3691	7917	550	671.76	0.469139534661372	0.5298005160318757
NY	44556	12/12/2021	01/11/2022	0.111	5.3e-06	0.715	0.492	0.027	0.22	0.027	0.007	2969	3237	6421	255	978.29	0.26508800751780476	0.7348387700949089
NY	44563	12/19/2021	01/18/2022	0.106	1.05e-05	0.72	0.478	0.028	0.241	0.028	0.013	3836	2936	3817	121	1157.85	0.14123576625576026	0.8587641975773158
NY	44570	12/26/2021	01/25/2022	0.11	2.57e-05	0.725	0.464	0.03	0.258	0.03	0.021	4133	2979	1694	46	1185.77	0.07932531173009284	0.9206746882698947
SLOVENIA	44550	12/06/2021	01/05/2022	0.181	3.58e-05	0.567	0.368	0.091	0.195	0.091	0.002	36	2814	2571	908	655.79	0.5924948092819358	0.40655327840895106
SLOVENIA	44557	12/13/2021	01/12/2022	0.124	6.6e-06	0.57	0.35	0.094	0.214	0.094	0.005	316	2962	2193	499	938.94	0.40935474567006275	0.5903095976993128
SLOVENIA	44564	12/20/2021	01/19/2022	0.105	7.2e-06	0.573	0.344	0.096	0.234	0.096	0.011	1109	3069	1832	217	1578.71	0.2610875987547564	0.7389077710309759
SLOVENIA	44571	12/27/2021	01/26/2022	0.12	2.02e-05	0.576	0.327	0.098	0.25	0.098	0.023	1885	3036	1446	64	2706.69	0.15726145323054092	0.8427385467179258
USA	44540	11/26/2021	12/26/2021	0.185	9e-07	0.618	0.437	0.048	0.178	0.048	0.001	1235	105835	115793	39043	403.58	0.746446036596407	0.2532517150453542
USA	44547	12/03/2021	01/02/2022	0.152	2e-07	0.623	0.423	0.049	0.197	0.049	0.003	8177	118250	113617	16957	617.22	0.5148044217934922	0.4850223727988896
USA	44554	12/10/2021	01/09/2022	0.135	2e-07	0.628	0.412	0.051	0.214	0.051	0.006	30102	117464	104363	7018	1024.0	0.2963353421537092	0.7036010838327824
USA	44561	12/17/2021	01/16/2022	0.129	4e-07	0.631	0.402	0.053	0.229	0.053	0.014	63908	113698	77643	2881	1504.77	0.1406575657974712	0.8593059419666347
USA	44568	12/24/2021	01/23/2022	0.125	9e-07	0.635	0.39	0.054	0.243	0.054	0.024	98023	109523	47100	1238	1882.66	0.06318786972479064	0.9367870586778497
CANADA	44541	11/27/2021	12/27/2021	0.191	9.2e-06	0.768	0.69	0.012	0.086	0.012	0.0	128	8885	11520	2632	214.04	0.804521998058105	0.1952068055433031
CANADA	44548	12/04/2021	01/03/2022	0.179	3e-06	0.77	0.655	0.013	0.122	0.013	0.002	596	10779	12152	1026	418.64	0.5431784627749643	0.45681822596906335
CANADA	44555	12/11/2021	01/10/2022	0.157	3.2e-06	0.772	0.607	0.013	0.162	0.013	0.004	2097	10834	10522	497	632.09	0.26137299207368075	0.7386270079160976
CANADA	44562	12/18/2021	01/17/2022	0.131	4.2e-06	0.774	0.569	0.014	0.211	0.014	0.009	4832	10262	6796	285	794.93	0.09899142708861153	0.9010085729114348
CANADA	44569	12/25/2021	01/24/2022	0.114	8.5e-06	0.777	0.516	0.015	0.262	0.015	0.014	8000	9770	3382	137	823.5	0.047242685230675756	0.9527573147693379
DENMARK	44541	11/27/2021	12/27/2021	0.183	3.3e-06	0.774	0.565	0.044	0.248	0.044	0.002	406	11096	36119	4039	1227.89	0.8764427990938743	0.12355720090603385
DENMARK	44548	12/04/2021	01/03/2022	0.18	1.6e-06	0.779	0.437	0.05	0.324	0.05	0.007	1455	16671	33279	1742	1889.21	0.6619257245459025	0.3380742754541077
DENMARK	44555	12/11/2021	01/10/2022	0.182	1.8e-06	0.785	0.364	0.056	0.403	0.056	0.015	3149	23637	25715	821	2446.64	0.30440151996374076	0.6955984800365739
DENMARK	44562	12/18/2021	01/17/2022	0.179	3.9e-06	0.793	0.313	0.061	0.473	0.061	0.03	5642	27502	13783	309	3043.24	0.11085962946778824	0.8891403705321693
SOUTHKOREA	44538	11/24/2021	12/24/2021	0.077	4.58e-05	0.812	0.708	0.007	0.129	0.007	0.0	30	279	2598	2380	111.19	0.9700867095208859	0.029913290479114264
SOUTHKOREA	44545	12/01/2021	12/31/2021	0.089	2.25e-05	0.818	0.626	0.007	0.19	0.007	0.0	59	606	2675	1938	115.96	0.9548687636312603	0.04513123636873792
SOUTHKOREA	44552	12/08/2021	01/07/2022	0.103	1.7e-05	0.824	0.544	0.008	0.259	0.008	0.0	81	883	2769	1370	109.17	0.9087265625808062	0.09127343741919931
SOUTHKOREA	44559	12/15/2021	01/14/2022	0.112	1.24e-05	0.831	0.485	0.009	0.328	0.009	0.0	115	1058	2605	851	95.55	0.7831244089373707	0.21687559106263848
SOUTHKOREA	44566	12/22/2021	01/21/2022	0.12	9.6e-06	0.838	0.446	0.009	0.385	0.009	0.0	210	1097	2436	351	88.49	0.6303736015058006	0.3696263984942067
SOUTHKOREA	44573	12/29/2021	01/28/2022	0.124	1.18e-05	0.845	0.406	0.01	0.432	0.01	0.001	510	1329	2096	132	112.17	0.4707086506327558	0.5292913493672697
SOUTHKOREA	44580	01/05/2022	02/04/2022	0.145	3.23e-05	0.851	0.373	0.01	0.473	0.01	0.001	815	1582	1531	39	185.16	0.27295738602445263	0.7270426139755517
SPAIN	44542	11/28/2021	12/28/2021	0.125	2.2e-05	0.807	0.61	0.031	0.186	0.031	0.001	55	812	4245	1475	577.77	0.8806450783780952	0.11906049046992057
SPAIN	44549	12/05/2021	01/04/2022	0.102	8.1e-06	0.809	0.565	0.035	0.23	0.035	0.002	231	959	4139	811	1050.51	0.7982412830126152	0.20145296549312988
SPAIN	44556	12/12/2021	01/11/2022	0.104	6.4e-06	0.811	0.532	0.04	0.275	0.04	0.005	454	1315	3668	476	1545.33	0.6661656428490168	0.33344559852017064
SPAIN	44563	12/19/2021	01/18/2022	0.108	6.3e-06	0.813	0.5	0.046	0.312	0.046	0.012	633	1720	2761	293	2117.13	0.48806473005299406	0.5111598428014742
SPAIN	44570	12/26/2021	01/25/2022	0.106	8.5e-06	0.815	0.471	0.052	0.348	0.052	0.022	788	2108	1731	191	2540.64	0.2891578157775711	0.7092227845535413
SPAIN	44577	01/02/2022	02/01/2022	0.106	1.37e-05	0.817	0.43	0.057	0.385	0.057	0.035	893	2410	960	108	2614.53	0.15837855588976588	0.8401085695643719
SPAIN	44584	01/09/2022	02/08/2022	0.094	2.02e-05	0.818	0.39	0.06	0.422	0.06	0.048	1201	2455	552	68	2303.67	0.08981718246834684	0.9090287726696925
SPAIN	44591	01/16/2022	02/15/2022	0.08	2.84e-05	0.819	0.356	0.062	0.454	0.062	0.061	1610	2353	336	46	1839.67	0.047338048817132564	0.9524490114914689
SPAIN	44598	01/23/2022	02/22/2022	0.072	5.34e-05	0.822	0.335	0.063	0.479	0.063	0.072	1999	2189	215	28	1342.41	0.028786089513529393	0.971213513856041
POLAND	44558	12/14/2021	01/13/2022	0.167	2.82e-05	0.556	0.379	0.031	0.177	0.031	0.001	43	3967	3433	2143	360.64	0.7606137527613003	0.2393862472386846
POLAND	44565	12/21/2021	01/20/2022	0.145	6e-06	0.56	0.364	0.032	0.196	0.032	0.001	277	5656	3589	936	357.41	0.5991227792227822	0.4008772207772
POLAND	44572	12/28/2021	01/27/2022	0.15	5.1e-06	0.564	0.347	0.033	0.216	0.033	0.003	1029	7122	3715	290	514.07	0.38339130245337	0.6166086975466044
POLAND	44579	01/04/2022	02/03/2022	0.16	1.33e-05	0.568	0.327	0.034	0.237	0.034	0.007	2041	7190	3395	99	747.39	0.16767678857579757	0.8323232114241677
FINLAND	44537	11/23/2021	12/23/2021	0.161	0.0001019	0.732	0.651	0.019	0.087	0.019	0.0	13	963	1226	768	290.69	0.8237965389162194	0.17620346108378615
FINLAND	44544	11/30/2021	12/30/2021	0.126	1.65e-05	0.735	0.619	0.02	0.117	0.02	0.001	108	1362	1502	431	417.13	0.7086714394237636	0.29132856057624956
FINLAND	44551	12/07/2021	01/06/2022	0.124	9.7e-06	0.736	0.576	0.022	0.152	0.022	0.003	304	1857	1554	231	660.59	0.4768255402451885	0.5231744597548408
FINLAND	44558	12/14/2021	01/13/2022	0.128	1.27e-05	0.737	0.549	0.023	0.195	0.023	0.007	482	2119	1322	125	946.81	0.26721218495876364	0.7327878150412429
