country	time	freq_delta	freq_omi	x_delta	x_omi	var_d	var_o	R_eff_vac	R_eff_boost	R_eff_delta	R_eff_omi	R_vac	R_boost	R_delta	R_omi	Cov	Cdv	Cob	Cdb	Cod	Cdd	Coo	Cdo	model_x_delta	model_x_omi
SPAIN	44612	0.013939162228825472	0.9860608377711757	0.013814616755793227	0.9861853832442068	6.071200142461579e-06	6.0712001424615706e-06	0.15576737794158563	0.7555704092570283	0.049900688776219	0.09027461764194467	0.8312	0.5107	0.06306935316573417	0.0850561403094146	0.006325512300756242	0.10422671932721539	0.4299397835471823	0.47884143820975733	0.002104655579160622	0.0382869916660186	0.07118305525480217	0.005726111959260487	0.006752938784277962	0.993247061215722
SPAIN	44613	0.012821782959002286	0.9871782170409992	0.012629679747406405	0.9873703202525936	5.619756790284495e-06	5.817804644553957e-06	0.1541195460467935	0.7645423328881775	0.04971022716475477	0.09014865637374588	0.8325	0.5119	0.06308389849434969	0.08608508155314547	0.006231209942160044	0.1030967397067387	0.42991704259825547	0.4793993736686068	0.0020758695543191016	0.03812010442039939	0.07101507852904053	0.005649468099871361	0.006214124754671091	0.9937858752453289
SPAIN	44614	0.011689776937125857	0.9883102230628742	0.011410314924691922	0.9885896850753081	5.1437194190665385e-06	5.346999590293502e-06	0.15411153729608437	0.7737200482586745	0.04953456753202103	0.09114088155654292	0.8328	0.5125	0.06308998583085158	0.0865537594284211	0.006325448056757342	0.10318594424902093	0.4300704668535488	0.4801467934829385	0.0020488934614415317	0.037965759827720776	0.07176040090869683	0.005675340990587627	0.0057191556340201455	0.9942808443659799
SPAIN	44615	0.010593820327438642	0.9894061796725626	0.01015228426395939	0.9898477157360406	4.633130839621191e-06	4.8414706001167375e-06	0.1527116295331355	0.7825533179293156	0.04934864130710825	0.0915185605513749	0.8337	0.5141	0.06309846635125167	0.08727074359786914	0.006271053598900127	0.10225169509033025	0.4296553628455465	0.4803033919895964	0.0020214337148576475	0.03780348740976629	0.07200444531452832	0.005645535302180139	0.0052648338806987605	0.9947351661193012
SWITZERLAND	44527	0.98961592463916	0.010233558532378803	0.9898674980514419	0.010132501948558068	1.6100983691654393e-06	1.5625277110377841e-06	0.36718886681286605	0.04032809277375174	0.0322749467420464	2.6713231948835413e-05	0.6552	0.0538	0.03274785753614994	2.451778760868403e-05	0.016847176813880354	0.24762870336135998	0.04922942136092014	0.051839516253283015	0.0018240172972595087	0.025226158607234598	2.1721356163084713e-05	2.3519414306856834e-06	0.9858005002598621	0.014199499740137924
SWITZERLAND	44528	0.9873209480596664	0.01253455957638789	0.9874823971209513	0.012517602879048663	1.957369875597297e-06	1.9335111384621604e-06	0.36363924275751386	0.04119879676795891	0.03220027965146349	2.670569833544467e-05	0.6556000000000001	0.059000000000000004	0.03274785753614994	2.451778760868403e-05	0.016595094088870773	0.2451456497867322	0.04963997851407168	0.052306426680088974	0.001799619797760317	0.025147620977962568	2.16852941303739e-05	2.3213419224076434e-06	0.9835748542493773	0.016425145750622747
SWITZERLAND	44529	0.9845695391552364	0.0152938166506108	0.9847604084838963	0.015239591516103691	2.380976783172473e-06	2.357057087847734e-06	0.3603618755326529	0.045321963756817095	0.032124453330698646	2.669711587196503e-05	0.6561	0.0649	0.03494612225839034	5.24259163481229e-05	0.016398173411286153	0.2428888741419338	0.05442310943853875	0.05735641518094464	0.0017755251009025056	0.025068545608704675	2.1648828519482432e-05	2.2910993434159192e-06	0.9810219954000614	0.018978004599938644
SWITZERLAND	44530	0.9813256091509106	0.018548364151632836	0.9815486516322347	0.01845134836776534	2.8792069250906934e-06	2.8552655435992505e-06	0.3569192274410606	0.049981374755740986	0.03444397950599463	5.7112380659680946e-05	0.6567000000000001	0.0718	0.035897649415463084	6.720646896488733e-05	0.016210965775033385	0.24053793101762128	0.05985206599899257	0.06308693583762139	0.001968717458627419	0.026943596026810103	4.6427419350630956e-05	5.015979901042655e-06	0.9780762498774229	0.021923750122577128
SWITZERLAND	44531	0.9775637822136589	0.02232379482607212	0.9776898734177215	0.022310126582278482	3.474154823617171e-06	3.4502472370107867e-06	0.3535751842654822	0.05539092865760443	0.03540272366412577	7.320924052318332e-05	0.6572	0.0785	0.03707618675952901	8.948239819794525e-05	0.01603926465978415	0.23826446849658853	0.06620529498491232	0.06979027929804475	0.002036328014087962	0.027706379418589184	5.9492735014717444e-05	6.4096732326963146e-06	0.9746934992450226	0.025306500754977472
SWITZERLAND	44532	0.973260114978738	0.02664366811678852	0.9735004760393526	0.026499523960647413	4.116062185003554e-06	4.092228736095938e-06	0.35006386350850477	0.06073267869152151	0.03660751437548089	9.747203022639592e-05	0.6579	0.0852	0.03814690333222261	0.00011393344427860166	0.015853712431382633	0.2358720193883149	0.07236508472955631	0.07629579514875645	0.0021254540666975396	0.028669083441796837	7.920075291399734e-05	8.525059988480536e-06	0.9708125473710678	0.02918745262893213
