time	x_wt	x_voc	x_alpha	x_delta	x_ba1	x_ba2	x_ba45	R_wt	R_vac	R_boost	R_alpha	R_delta	R_omi	R_ba1	R_ba2	R_ba45	C_av	C_dv	C_ov	C_wtv	C_ov0	C_dv0	C_ab	C_db	C_ob	C_a2b	C_a45b	C_wtb	C_aa	C_da	C_oa	C_wta	C_ad	C_dd	C_od	C_wtd	C_ao	C_do	C_wto	C_oo	C_a1a1	C_a2a1	C_a45a1	C_a1a2	C_a2a2	C_a45a2
43892	0.9998224196734801	0.00017758032651993166	0.0	0.0	0.0	0.0	0.0	1.76780593820411e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43893	0.9997937152612167	0.0002062847387832641	0.0	0.0	0.0	0.0	0.0	2.0221193591755275e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43894	0.9997657789379192	0.00023422106208078927	0.0	0.0	0.0	0.0	0.0	2.263262875110891e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43895	0.999740233584385	0.00025976641561500436	0.0	0.0	0.0	0.0	0.0	2.5919333827371925e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43896	0.9997180857443405	0.00028191425565946877	0.0	0.0	0.0	0.0	0.0	2.904036934201942e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43897	0.9996997075092203	0.00030029249077968183	0.0	0.0	0.0	0.0	0.0	3.4777396190598276e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43898	0.9996849059796876	0.00031509402031233946	0.0	0.0	0.0	0.0	0.0	4.052644145818913e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43899	0.9996730630586451	0.00032693694135491855	0.0	0.0	0.0	0.0	0.0	4.685357623116154e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43900	0.9996633259273089	0.00033667407269111823	0.0	0.0	0.0	0.0	0.0	5.514535310634746e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43901	0.9996548009037337	0.00034519909626631575	0.0	0.0	0.0	0.0	0.0	6.30537209440307e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
