Country	time	s_hat	s_var	x_eff_vac	x_eff_vac0	x_eff_boost	x_eff_delta	x_eff_omi	cases	dC_vac	dC_boost	dC_delta	dC_omi	s_model	s_0	L
GERMANY	44579	0.134	1.7876190476190477e-05	0.1770766483954607	0.3072038643946713	0.5610165252507857	0.039629526746486	0.010907323620269	68.86572384875724	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12484544268521684	0.0628448554800931	2.2030164893735082
FRANCE	44544	0.16	2.4176190476190478e-05	0.3335929566634707	0.3987751361362572	0.2259207013994271	0.0337416423654803	0.0005145303019863	69.79611007287434	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1446055844402579	0.05447309495552752	-0.5051364912228928
FRANCE	44551	0.14	1.7676190476190476e-05	0.303430593282557	0.3895259439123024	0.2900535246064267	0.0377068852306312	0.0017804317127785	77.643993553044	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.14057130018238723	0.05447309495552752	4.543475161022716
FRANCE	44558	0.129	1.6976190476190476e-05	0.2827294947793917	0.3759669467525902	0.3384894779398065	0.0417163632221516	0.0051220319302348	104.3805681627164	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13743694599443337	0.05447309495552752	2.476384600711031
FRANCE	44565	0.125	1.8476190476190475e-05	0.2620887217273782	0.3627506670867377	0.391148590806586	0.0483597590856164	0.0165045957102808	192.72087251441167	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13229239485140476	0.05447309495552752	3.091452258687478
FRANCE	44572	0.123	2.2176190476190477e-05	0.2394313844508813	0.3537309151663996	0.4613987899205876	0.0543464824242879	0.0399976708184714	339.0297924515242	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12210431508554533	0.05447309495552752	4.421219013398913
FRANCE	44579	0.116	2.8176190476190477e-05	0.2219102074059429	0.3430079413800196	0.5279943767377773	0.0567458889217911	0.0698639052345033	437.6413238013309	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.10904470869535936	0.05447309495552752	3.4611214227532288
SWITZERLAND	44542	0.154	3.2376190476190474e-05	0.3163315697642924	0.3433744672187281	0.1092568128434503	0.0460565613223835	0.0006162474234622	95.6832357026081	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.14031907594968934	0.051731038303004226	1.3595908039486866
SWITZERLAND	44549	0.143	2.0676190476190474e-05	0.2892123997858389	0.329355272749681	0.1553119799627649	0.0523016466506117	0.0016208785679772	100.27199835144172	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13753517217283545	0.051731038303004226	3.752133711329805
SWITZERLAND	44556	0.137	1.9376190476190476e-05	0.2658902708936642	0.3142102892785631	0.1973051246468773	0.0561413576508475	0.0034113780158932	88.32698792900705	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13423187892936633	0.051731038303004226	4.309064599023522
SWITZERLAND	44563	0.127	2.0176190476190475e-05	0.2442878105501704	0.2988835960396074	0.2389817160035542	0.061343472252413	0.0104210627500786	120.01155643042148	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12978299809373972	0.051731038303004226	4.294629041670291
SWITZERLAND	44570	0.112	2.4676190476190476e-05	0.2202310831460998	0.2861032536928991	0.2965040554074204	0.064919432812588	0.0245895134365747	195.6798623998441	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1217164749357215	0.051731038303004226	2.4729220423596283
SWITZERLAND	44577	0.103	3.537619047619048e-05	0.199262590478162	0.2732127141966161	0.3543142084994937	0.0668349323392596	0.0443178774199076	255.35060510243784	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11149650958699704	0.051731038303004226	3.1854686789000537
SWITZERLAND	44584	0.097	4.867619047619048e-05	0.1826708359052821	0.2599033251064326	0.4080429903336216	0.0675357803005294	0.0687443592868713	302.99066620128855	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.09981634558376197	0.051731038303004226	3.9647465647010596
NETHERLANDS	44537	0.138	4.227619047619048e-05	0.3593543238964197	0.3677436063449295	0.0397668937061882	0.0622892096669454	0.0009152778348187	124.4970766479238	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.14445112821678271	0.04187267096646744	3.6245003026604463
NETHERLANDS	44544	0.127	2.3076190476190478e-05	0.3318620999529929	0.3505162499521776	0.0716461110436083	0.0675770754339033	0.0020265812492548	107.66221470244868	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.14085453757983177	0.04187267096646744	0.26040611144839243
NETHERLANDS	44551	0.12	1.8876190476190478e-05	0.2965505864072393	0.332841035822443	0.1213118854729226	0.0709025141807308	0.0036046150724867	86.98568431136134	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13501274521747747	0.04187267096646744	-1.4501552512491207
NETHERLANDS	44558	0.13	2.0176190476190475e-05	0.2535206512997863	0.3149644497867795	0.1912268170505163	0.0725744756955187	0.006050668984243	75.54724850396788	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12696619707932794	0.04187267096646744	4.258475492925768
NETHERLANDS	44565	0.133	2.4776190476190475e-05	0.2031825587674282	0.2975722153765207	0.2801433314198255	0.0735385512494509	0.0109415189206943	86.52139212654401	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11652864181326753	0.04187267096646744	-1.0912530636262137
NETHERLANDS	44572	0.135	4.087619047619048e-05	0.1593793528962891	0.2806365460118015	0.3704211557613193	0.074054980177414	0.0217727515969245	135.33612522006808	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.10503232262311826	0.04187267096646744	-6.851601256521322
NY	44535	0.16	2.8776190476190474e-05	0.2575474259547316	0.2732229475499411	0.1608929179999819	0.0213512933636767	0.0003951884866077	29.3470303082085	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1223480040071076	0.05490209780027385	-20.323696823981948
NY	44542	0.12	1.7076190476190475e-05	0.2498969104087498	0.2732503577991537	0.2066372969057109	0.0230085229895061	0.0010364866725056	34.28995900203992	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12211044887592662	0.05490209780027385	4.439558841588658
NY	44549	0.113	1.7576190476190477e-05	0.2398156737550299	0.2655415581469559	0.237205704210558	0.0243929199896644	0.0022623495199201	38.42336679281563	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12067411764610306	0.05490209780027385	2.8802072393139166
NY	44556	0.111	1.9976190476190477e-05	0.229453217118305	0.2563393669626848	0.2673193533950519	0.0255113599338954	0.0045355696166558	52.68090106705778	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11865264029414782	0.05490209780027385	3.025728593933566
NY	44563	0.106	2.5176190476190475e-05	0.2202278059816696	0.2476521986566834	0.2982680000621137	0.0270831188974758	0.0121149001999443	91.84382609213915	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11499528546796631	0.05490209780027385	2.7688895376862215
NY	44570	0.11	3.987619047619047e-05	0.2129069416095571	0.2406671887928605	0.3317112151216129	0.0279444055122318	0.02279403110294	145.88899923960147	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11031306958344912	0.05490209780027385	4.1446980768688055
SLOVENIA	44550	0.181	4.897619047619048e-05	0.236077400229471	0.2802692464351313	0.2081024339598435	0.0917225894133581	0.0013058995169758	61.207449637750365	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13018393401014078	0.03912892064247599	-22.31938019856083
SLOVENIA	44557	0.124	2.1276190476190475e-05	0.2218812103134691	0.2694298887664251	0.2447496976287351	0.0923567493189547	0.0031015283748014	53.88885387807803	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12747671737605581	0.03912892064247599	4.1759592730600765
SLOVENIA	44564	0.105	2.1576190476190476e-05	0.2105454225770395	0.2571991668242122	0.2729753333886563	0.0926947475493058	0.0065921366006078	60.94446766917318	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12442058905466948	0.03912892064247599	-4.2871515618785745
SLOVENIA	44571	0.12	3.5276190476190477e-05	0.1980069001831226	0.2464088787892042	0.3102200660868225	0.0937059420616239	0.0164258794232448	119.40664212275196	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11908509058576629	0.03912892064247599	4.19534825744854
USA	44540	0.185	1.5176190476190476e-05	0.1996707184294714	0.2222288124041018	0.2013352549012193	0.0437329154778631	0.0004414874595395	34.16699198987508	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.14934902080436377	0.08476528110436109	-37.24559793013496
USA	44547	0.152	1.4476190476190476e-05	0.1916236775723946	0.2155389381680947	0.2326316227892777	0.0445346961191153	0.0013491517808101	37.87091959674977	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.14826497088453883	0.08476528110436109	4.170723172554165
USA	44554	0.135	1.4476190476190476e-05	0.1832858722054639	0.2075865040863374	0.2648694691306244	0.0452221375922374	0.0037434633717056	47.98178649008846	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.14651214200872276	0.08476528110436109	0.07506791951340297
USA	44561	0.129	1.4676190476190476e-05	0.1754959520207612	0.1997115080480188	0.2965374344227313	0.0458362860694467	0.0099783980206535	85.65059247912977	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1433324772111335	0.08476528110436109	-2.3527033156891157
USA	44568	0.125	1.5176190476190476e-05	0.1683074266334785	0.1925792339188647	0.3304856158939442	0.0460800844817039	0.0226272497238812	153.83038298029527	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13767703464452413	0.08476528110436109	-0.6657621679547514
CANADA	44541	0.191	2.3876190476190477e-05	0.4256071110691995	0.4474424415628326	0.0730409988835665	0.0105121982112513	7.960868216915562e-05	8.917221177846026	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.16911721459789675	0.07142703684939532	-5.625528232774743
CANADA	44548	0.179	1.7176190476190477e-05	0.3911714034272124	0.4259191694874016	0.1039839509505344	0.0112133512757207	0.0004502060712421	13.73948010581335	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.16249323618866207	0.07142703684939532	-3.36465905538876
CANADA	44555	0.156	1.7476190476190478e-05	0.3538564245811615	0.4049090286200344	0.1517639658618665	0.012380905381229	0.0023552680243264	31.71437320454105	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.15520349122811328	0.07142703684939532	4.540245881623413
CANADA	44562	0.131	1.8576190476190477e-05	0.3210990646147879	0.3832734994562663	0.193816463231557	0.0133246132293961	0.0076712385476538	66.19135298188442	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1473479987327101	0.07142703684939532	-2.665661550369891
CANADA	44569	0.114	2.3176190476190474e-05	0.2856300817994167	0.3635576100513488	0.2480629850223902	0.0136418784160265	0.0149239330737386	93.43511949289156	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13817420930334026	0.07142703684939532	-8.190348525397294
DENMARK	44541	0.183	1.7476190476190478e-05	0.3633863797707093	0.4134274224363902	0.2012750732690907	0.0418648637768074	0.0006944173278795	88.88465339205385	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.19545233830141606	0.0963192087630717	0.12205465283098516
DENMARK	44548	0.18	1.5776190476190477e-05	0.2928607261903739	0.3955552966860748	0.3091961971020271	0.0501167350177412	0.0026289929096225	123.05341554019842	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.18508614628575823	0.0963192087630717	3.789694749251602
DENMARK	44555	0.182	1.5976190476190475e-05	0.2440553032194989	0.3777766367990753	0.4003679133754209	0.0579557441051319	0.0099133936894024	163.12243884800756	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.17678477096672848	0.0963192087630717	3.752043601546511
DENMARK	44562	0.179	1.8076190476190475e-05	0.2112174215199561	0.3640810157037907	0.4775972159949236	0.0618665664656028	0.0271387204508096	255.52201944207724	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.16619323862043345	0.0963192087630717	0.004801494895761316
SPAIN	44542	0.126	3.667619047619048e-05	0.3801881549408041	0.427505368002864	0.1702350621020858	0.0240935751944756	0.0002288332033429	23.93236246881704	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12242864458461916	0.02713153751711473	4.013871933692753
SPAIN	44549	0.102	2.2276190476190476e-05	0.3450929339694892	0.4053339350483263	0.2209894531064	0.0266294353427747	0.0007569277528253	37.25151652433444	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11675977135109145	0.02713153751711473	-0.4527114417715836
SPAIN	44556	0.104	2.0276190476190478e-05	0.3152185100850885	0.3834272508450391	0.2665438795811643	0.0305380893132802	0.0021408923350365	61.014022021065074	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11230587207287052	0.02713153751711473	2.7828980100761145
SPAIN	44563	0.108	2.0376190476190477e-05	0.2897488599319581	0.3645553017138476	0.3144793354395808	0.0382240787582284	0.0070218742069591	119.6868416460173	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.10896665787200963	0.02713153751711473	4.4587038078917045
SPAIN	44570	0.106	2.2576190476190476e-05	0.263801255003427	0.3438578309766359	0.3653109715700466	0.0462549705162392	0.0183050849768046	206.35254664554475	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.10321675714318682	0.02713153751711473	4.2588066520854415
SPAIN	44577	0.106	2.8576190476190476e-05	0.2361332934674635	0.3246440335567069	0.428606262781432	0.0506936798085666	0.0344010836957464	256.46705641496976	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.09408133082043246	0.02713153751711473	1.8269872550245165
SPAIN	44584	0.094	3.367619047619048e-05	0.2104093027846766	0.3056200463512353	0.4945063629741467	0.0525005403414736	0.051913159349136	258.2156847396981	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.08383895989140283	0.02713153751711473	2.6974874859437143
SPAIN	44591	0.079	4.5576190476190476e-05	0.1874118615850844	0.2868273003186417	0.5647620695273479	0.0528703085886972	0.0688498338763283	240.46584508232655	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.07394535703567826	0.02713153751711473	3.7988305732400462
SPAIN	44598	0.072	6.137619047619047e-05	0.1697591037765235	0.2686343776975916	0.6284429467628915	0.0521064609199394	0.0777903153676182	174.6001317653695	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.06774765094846633	0.02713153751711473	3.7829972271711565
FINLAND	44537	0.161	0.00011017619047619048	0.48728408937029	0.5096539520658003	0.0737389150770379	0.0172123935788476	0.0002430951663637	22.585648866995736	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1422816807198134	0.028687159691007463	2.0477073983833174
FINLAND	44544	0.126	2.7976190476190475e-05	0.4575951390070254	0.4909571769260783	0.102818952641742	0.0185183159689537	0.0006631696332023	27.08307312135361	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.13685951819062273	0.028687159691007463	2.2154701888795656
FINLAND	44551	0.124	2.4176190476190478e-05	0.4202120898774294	0.4688774178436728	0.144024424431621	0.0198900236370478	0.001608769881497	33.03918640718103	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1298643814040138	0.028687159691007463	3.684875607122616
FINLAND	44558	0.128	2.6376190476190477e-05	0.3905607330273897	0.4467874064687437	0.1779895934594616	0.0212543570771818	0.0041112455249265	50.91473560089787	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1237665329456782	0.028687159691007463	4.012843050109725
FINLAND	44565	0.121	3.757619047619048e-05	0.3588005391000355	0.4247963688181464	0.2200483359954808	0.0227437237064261	0.0108004493285568	90.73430273673014	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11580263031613466	0.028687159691007463	3.816193036010131
FINLAND	44572	0.112	6.047619047619047e-05	0.3054067062258414	0.4030075279199765	0.2933591831913719	0.0234524437089902	0.0209421740463065	135.37931892559504	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.10220133282262986	0.028687159691007463	3.143876344396995
NORWAY	44534	0.158	5.2776190476190475e-05	0.4116911686952818	0.4456914186867315	0.1228922659473418	0.0328209512322492	0.0051180440675726	52.22332751332616	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.12627390369217736	0.0237192540913806	-5.530191370714354
NORWAY	44541	0.104	2.0276190476190478e-05	0.3820140796531995	0.4291818071838439	0.166001616040611	0.0348927868482177	0.0082441663952718	69.46318529852648	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.1204068292761716	0.0237192540913806	-2.153841370076047
NORWAY	44548	0.095	1.8676190476190476e-05	0.3501069324572307	0.4129245770227604	0.2191896301731256	0.0355922279861914	0.0115628792601098	82.26927464951122	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.11366930892248	0.0237192540913806	-4.806022944438305
NORWAY	44555	0.102	1.9476190476190475e-05	0.3251468871168541	0.3945431894399331	0.2617325264165823	0.0360237271462472	0.0178886705287999	74.82151947500766	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.10691386236708739	0.0237192540913806	3.884334187820425
NORWAY	44562	0.113	2.4976190476190477e-05	0.3038127565791768	0.375135192934854	0.299060808371717	0.0361037156414365	0.0279920840688825	64.3024496052208	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.09920914651742119	0.0237192540913806	0.5724763800469477
NORWAY	44569	0.121	3.9376190476190475e-05	0.262700903942361	0.358702790754633	0.3699604309270414	0.0358832129125596	0.0447487168485361	85.4430478175522	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913	0.08525446503381917	0.0237192540913806	-12.072584738679765
