Country	time	s_hat	s_var	x_eff_vac	x_eff_vac0	x_eff_boost	x_eff_delta	x_eff_omi	cases	dC_vac	dC_boost	dC_delta	dC_omi
SPAIN	44549	0.102	8e-06	0.3450929339694892	0.4053339350483263	0.22098945310640003	0.02662943534277472	0.0007569277528253543	37.25151652433444	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SPAIN	44556	0.104	6e-06	0.3152185100850885	0.38342725084503915	0.2665438795811643	0.03053808931328021	0.0021408923350365477	61.014022021065074	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SPAIN	44563	0.108	6.1e-06	0.28974885993195815	0.36455530171384765	0.3144793354395808	0.03822407875822843	0.007021874206959171	119.6868416460173	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SPAIN	44570	0.106	8.3e-06	0.26380125500342705	0.34385783097663597	0.3653109715700466	0.04625497051623928	0.018305084976804633	206.35254664554475	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SPAIN	44577	0.106	1.43e-05	0.2361332934674635	0.3246440335567069	0.42860626278143205	0.050693679808566684	0.03440108369574644	256.46705641496976	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SPAIN	44584	0.094	1.94e-05	0.21040930278467668	0.3056200463512353	0.4945063629741467	0.05250054034147368	0.05191315934913608	258.2156847396981	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SPAIN	44591	0.079	3.13e-05	0.1874118615850844	0.2868273003186417	0.5647620695273479	0.05287030858869723	0.06884983387632838	240.46584508232658	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
SPAIN	44598	0.072	4.71e-05	0.1697591037765235	0.2686343776975916	0.6284429467628915	0.05210646091993942	0.0777903153676182	174.6001317653695	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
FINLAND	44537	0.161	9.59e-05	0.48728408937029005	0.5096539520658003	0.07373891507703793	0.0172123935788476	0.00024309516636377156	22.585648866995736	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
FINLAND	44544	0.126	1.37e-05	0.4575951390070254	0.4909571769260783	0.10281895264174204	0.0185183159689537	0.0006631696332023574	27.083073121353614	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
FINLAND	44551	0.124	9.9e-06	0.4202120898774294	0.4688774178436728	0.14402442443162106	0.019890023637047876	0.0016087698814970602	33.03918640718103	0.6285090518964318	0.0647215058496815	0.7250869070989913	-0.7250869070989913
