Country	time	s_hat	s_var	x_eff_vac	x_eff_alpha	x_eff_delta	cases	dC_vac	dC_alpha	dC_delta	s_model	s_0	L
BELGIUM	44378	0.134	2.26e-05	0.3069629951996032	0.0284824988773609	0.0006678129124016	4.683926716684717	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11488714354009805	0.043783291549424876	-3.6520449785301556
GERMANY	44337	0.08	1.22e-05	0.1174799683141093	0.0136026910284996	6.201402131727402e-05	13.982639024755892	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09383181131146934	0.0644285526339359	-3.102844023374562
GERMANY	44344	0.091	1.1799999999999999e-05	0.1438215990289316	0.0142685437717155	7.634334724274256e-05	9.666036320582752	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09864831746273697	0.0644285526339359	2.2760907083972746
GERMANY	44351	0.104	1.16e-05	0.1731942781337404	0.014848251371802	9.708296019257656e-05	6.5970428223221775	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.1038934254120064	0.0644285526339359	4.762824621600356
GERMANY	44358	0.115	1.16e-05	0.2118988461128634	0.0152802679037682	0.0001206471500253	4.131383243367012	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11056118972843312	0.0644285526339359	3.9140453765933887
GERMANY	44365	0.126	1.26e-05	0.2513675244287345	0.015608698884793	0.0001466870264121	2.665956428301814	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.11727522790424644	0.0644285526339359	1.7012680164638265
GERMANY	44372	0.133	1.4299999999999999e-05	0.2904406364857738	0.0158501114770916	0.0001745163347958	1.647964526921428	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.12385772342301346	0.0644285526339359	1.736266662105482
GERMANY	44379	0.131	1.71e-05	0.3271994383571455	0.016018356599863	0.0002046308536817	0.9655488108046498	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.1300028694199744	0.0644285526339359	4.540205309531281
JAPAN	44337	0.052	1.38e-05	0.0165333691773052	0.0014022431100775	1.2934093654419306e-05	4.420043487865004	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.058091317756113155	0.05433863191147022	3.3321291161473545
JAPAN	44344	0.059	1.33e-05	0.0206048014350717	0.0016166470057521	1.6916207725030043e-05	4.094103459687791	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.05891719259355059	0.05433863191147022	4.69467694370636
JAPAN	44351	0.069	1.22e-05	0.0278691614435477	0.0017885997127442	2.142860230734249e-05	3.1060494056697583	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.060236253572113665	0.05433863191147022	1.5904245300598845
JAPAN	44358	0.077	1.24e-05	0.0394995823102436	0.0019314626737599	2.701771536486652e-05	2.2375503285199403	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.06225095337247784	0.05433863191147022	-4.0415789268515345
JAPAN	44365	0.082	1.1799999999999999e-05	0.0583659333974305	0.0020521905138183	3.384751985126834e-05	1.60078322710473	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.06543846814594162	0.05433863191147022	-6.867450704407098
JAPAN	44372	0.085	1.07e-05	0.0822306196187717	0.0021636888610815	4.413262561482498e-05	1.278690854122016	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.06943825013245672	0.05433863191147022	-6.512569561404293
JAPAN	44379	0.085	9.999999999999999e-06	0.1103909151037183	0.0022677307396696	6.091256306884336e-05	1.171868839289202	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.07413321493099274	0.05433863191147022	-1.0668266875195167
JAPAN	44386	0.087	9.6e-06	0.1394875482627114	0.0023653192976206	9.000973777540056e-05	1.2767471932505683	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.07896609608656834	0.05433863191147022	1.4962887335065833
JAPAN	44393	0.087	9.4e-06	0.1715006130289371	0.0024587244619018	0.0001484044170854	1.5947142452000067	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08424873901635765	0.05433863191147022	4.465832273473921
JAPAN	44400	0.09	9.299999999999999e-06	0.2030826646085268	0.0025487947353875	0.0002634869900417	2.2597635956221964	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08940588363439347	0.05433863191147022	4.854832435166596
JAPAN	44407	0.086	9.4e-06	0.246753117938181	0.0026367589902191	0.0004902757455978	3.801681664905948	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09644754974124578	0.05433863191147022	-0.9374580773607759
JAPAN	44414	0.08	9.6e-06	0.2907098566072909	0.0027261811234246	0.0009477542758328	6.532207856902387	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10332536306561477	0.05433863191147022	-23.47917741506076
JAPAN	44421	0.077	1.04e-05	0.3279052079362077	0.0027903250818408	0.0015681880681739	9.763127556925545	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.10892219398575531	0.05433863191147022	-44.17374331422853
TX	44320	0.058	3.58e-05	0.237773510997265	0.0070873570575796	3.5337137481375504e-05	10.905969891412074	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08128969623899485	0.0369246843290206	-3.375715174454503
TX	44327	0.066	2.7499999999999998e-05	0.2664440060485545	0.0076005748112728	4.439118541890279e-05	9.633217883855504	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.08638049447306156	0.0369246843290206	-3.2203590741313963
TX	44334	0.08	2.2199999999999998e-05	0.2938645820218641	0.0080683111948539	5.509834810790761e-05	8.290472235770148	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09123025948280183	0.0369246843290206	1.5982587082964441
TX	44341	0.094	2.24e-05	0.3187703572110079	0.0084725663618036	7.093776223784333e-05	6.950471436332978	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.09561428901016596	0.0369246843290206	4.3761182081250345
TX	44348	0.106	2.1000000000000002e-05	0.3421199995258366	0.0088189625465493	9.688133529874032e-05	5.456759112597295	0.1342294137290682	0.3038791875592727	-0.3749630371174327	0.0996899196669914	0.0369246843290206	3.5185290076533255
