Country	time	s_hat	s_var	x_eff_vac	x_eff_alpha	x_eff_delta	cases	dC_vac	dC_alpha	dC_delta
TX	44376	0.123	8.7e-06	0.4386270286476838	0.009647491612358677	0.0005162456891201439	4.257774912460772	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44327	0.056	1.64e-05	0.10155451268345382	0.03127733372900823	9.364572556002871e-05	31.523167512088047	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44334	0.071	1.26e-05	0.11544584718753204	0.032992452075977965	0.00011444293297602022	24.668505828957908	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44341	0.094	1.16e-05	0.12938371007051094	0.03454344621319838	0.00013949774179812887	19.846415116727478	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44348	0.114	1.3e-05	0.14860880582129635	0.03573370034364868	0.00018197036642345134	16.354898994393523	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44355	0.125	1.14e-05	0.17110367427968537	0.03667446233324344	0.00024198077600323848	12.429325739372905	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44362	0.118	5.9e-06	0.1976366227619195	0.037298820181306806	0.00032530945038043187	9.13959835068672	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44369	0.119	4e-06	0.2292644596943388	0.03768924967253113	0.0004148473785732507	6.066417489840111	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44376	0.105	3.8e-06	0.2661460345367996	0.03789991905823634	0.0005158258416303533	3.6116549494230368	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44383	0.097	4.5e-06	0.30497384165436386	0.03795872956685089	0.0006731158907522293	3.1994749488297587	0.13422941372906827	0.3038791875592727	-0.37496303711743273
FRANCE	44390	0.092	7.3e-06	0.3452460075630728	0.03786807641407838	0.0009607073748971898	4.35295600842455	0.13422941372906827	0.3038791875592727	-0.37496303711743273
SWITZERLAND	44343	0.092	2.19e-05	0.17186292454416602	0.016870004136981732	7.691343594909095e-05	12.333207962738545	0.13422941372906827	0.3038791875592727	-0.37496303711743273
SWITZERLAND	44350	0.115	2.02e-05	0.20125074134805054	0.017605655383167565	0.00010150075828046208	9.919690151814688	0.13422941372906827	0.3038791875592727	-0.37496303711743273
SWITZERLAND	44357	0.135	1.54e-05	0.2325978709137165	0.018111442983478537	0.00012579720189225286	7.770643867117573	0.13422941372906827	0.3038791875592727	-0.37496303711743273
SWITZERLAND	44364	0.145	1.39e-05	0.26540081700007906	0.018538781481202547	0.00016588725032369114	4.8367883679341634	0.13422941372906827	0.3038791875592727	-0.37496303711743273
SWITZERLAND	44371	0.144	1.4e-05	0.29980242874537616	0.018797495070057485	0.00020585160524055112	2.9292659716133125	0.13422941372906827	0.3038791875592727	-0.37496303711743273
SWITZERLAND	44378	0.144	1.56e-05	0.3363704240936369	0.018958542035055693	0.0002567098472243821	1.7927842070684694	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44322	0.04	4.68e-05	0.09274218622496204	0.024381994698792868	2.9284807133066244e-05	8.684694708146093	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44329	0.052	2.69e-05	0.10964637159930302	0.024805420426162572	4.1503035471549626e-05	8.736873116560144	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44336	0.074	2.06e-05	0.1278338900647227	0.025160247883549074	5.604784990865252e-05	8.605423664593982	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44343	0.091	1.72e-05	0.15493627395136259	0.025440652833010884	7.536793473631313e-05	8.514111449869393	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44350	0.106	1.52e-05	0.1767598514700614	0.025615348305529348	0.00010846643069326773	8.410758063972334	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44357	0.12	1.3e-05	0.19991522603007994	0.02564923344853738	0.00018009413686857312	7.78662402486582	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44364	0.13	9.4e-06	0.239705518072622	0.02551678525259163	0.00031487379403116186	7.1233561794487725	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44371	0.119	9.2e-06	0.2840195819706916	0.025259353418174885	0.0005144295503490728	6.349710931617386	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44378	0.108	1.05e-05	0.3282658843513214	0.02489644213222238	0.0008431133337053751	7.383244790587979	0.13422941372906827	0.3038791875592727	-0.37496303711743273
IRELAND	44385	0.11	2.03e-05	0.380599061851799	0.0244395255969527	0.0013603539583090217	8.514111449869395	0.13422941372906827	0.3038791875592727	-0.37496303711743273
NETHERLANDS	44343	0.098	1.41e-05	0.1270891474523158	0.032938661475526806	0.00015551029828870865	25.622348541270433	0.13422941372906827	0.3038791875592727	-0.37496303711743273
NETHERLANDS	44350	0.107	9.4e-06	0.15595952634203594	0.03442786057599851	0.000220117428110961	19.170104117522445	0.13422941372906827	0.3038791875592727	-0.37496303711743273
NETHERLANDS	44357	0.12	5.9e-06	0.18505593027500464	0.03552947127619998	0.00030577195416864545	13.92963900389761	0.13422941372906827	0.3038791875592727	-0.37496303711743273
NETHERLANDS	44364	0.125	5.1e-06	0.2165964023203803	0.0363452925240275	0.00039952191493272297	9.621737352628477	0.13422941372906827	0.3038791875592727	-0.37496303711743273
NETHERLANDS	44371	0.118	3.8e-06	0.25200268232283823	0.036927776493373116	0.0005024628157988673	6.067922297519597	0.13422941372906827	0.3038791875592727	-0.37496303711743273
NETHERLANDS	44378	0.119	5.8e-06	0.2895715925303022	0.03731874513863244	0.0006467143667150631	4.41475484848566	0.13422941372906827	0.3038791875592727	-0.37496303711743273
